City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,9.01,53,20,10.8,CL,1681499485
1,acajutla,13.5928,-89.8275,31.31,59,15,4.92,SV,1681499600
2,khujand,40.2853,69.6279,20.6,56,100,2.0,TJ,1681499600
3,tumaco,1.7986,-78.8156,29.95,63,86,4.97,CO,1681499524
4,ushuaia,-54.8,-68.3,8.79,74,33,1.15,AR,1681499547
5,faanui,-16.4833,-151.75,26.99,73,18,3.79,PF,1681499602
6,shizunai,42.3339,142.3669,4.02,65,100,2.95,JP,1681499602
7,husavik,66.0449,-17.3389,2.25,99,100,1.53,IS,1681499603
8,namatanai,-3.6667,152.4333,26.45,84,96,4.93,PG,1681499603
9,naze,28.3667,129.4833,20.44,94,100,5.28,JP,1681499603
10,dubbo,-32.25,148.6167,13.07,88,76,4.12,AU,1681499316
11,bredasdorp,-34.5322,20.0403,13.55,61,4,1.16,ZA,1681499604
12,cidreira,-30.1811,-50.2056,19.2,74,100,5.02,BR,1681499515
13,san cristobal,7.7669,-72.225,26.1,40,93,2.04,VE,1681499604
14,sibu,2.3,111.8167,24.02,97,100,0.47,MY,1681499605
15,mataura,-46.1927,168.8643,6.24,96,7,1.5,NZ,1681499605
16,cape town,-33.9258,18.4232,15.62,68,0,4.92,ZA,1681499396
17,tuktoyaktuk,69.4541,-133.0374,-18.05,92,99,3.38,CA,1681499605
18,mar del plata,-38.0023,-57.5575,15.53,57,9,2.24,AR,1681499426
19,shagonar,51.5333,92.8,2.66,66,100,1.28,RU,1681499606
20,puerto ayora,-0.7393,-90.3518,32.98,85,82,3.58,EC,1681499606
21,east london,-33.0153,27.9116,17.35,62,62,8.87,ZA,1681499599
22,innisfail,-17.5333,146.0333,21.77,74,100,2.21,AU,1681499607
23,hobart,-42.8794,147.3294,7.92,100,40,0.0,AU,1681499608
24,ribeira grande,38.5167,-28.7,18.22,88,75,7.6,PT,1681499608
25,coahuayana,18.7333,-103.6833,32.7,26,0,3.52,MX,1681499609
26,busselton,-33.65,115.3333,14.47,64,86,4.86,AU,1681499609
27,albany,42.6001,-73.9662,30.8,28,94,1.62,US,1681499540
28,ngaoundere,7.3167,13.5833,23.97,45,23,1.71,CM,1681499610
29,kalabo,-14.97,22.6814,21.41,43,1,1.65,ZM,1681499610
30,chicama,-7.8447,-79.1469,28.3,59,83,5.06,PE,1681499611
31,burley,42.5357,-113.7928,7.98,28,75,6.26,US,1681499612
32,mayna,54.1135,47.6231,-1.22,36,97,9.74,RU,1681499612
33,butaritari,3.0707,172.7902,27.81,78,28,5.33,KI,1681499612
34,rikitea,-23.1203,-134.9692,25.92,73,9,5.72,PF,1681499442
35,mataram,-8.5833,116.1167,24.45,88,100,2.71,ID,1681499613
36,new norfolk,-42.7826,147.0587,7.72,97,41,0.65,AU,1681499613
37,upernavik,72.7868,-56.1549,-8.15,90,100,4.6,GL,1681499614
38,namibe,-15.1961,12.1522,24.53,76,0,3.28,AO,1681499614
39,qaanaaq,77.484,-69.3632,-9.78,78,25,1.53,GL,1681499614
40,dunedin,-45.8742,170.5036,12.11,89,12,2.68,NZ,1681499615
41,deputatskiy,69.3,139.9,-13.99,94,100,0.37,RU,1681499615
42,lumby,50.2498,-118.969,9.87,40,38,1.54,CA,1681499616
43,clocolan,-28.9137,27.5656,10.46,41,6,3.28,ZA,1681499617
44,saint-philippe,-21.3585,55.7679,24.77,84,100,2.72,RE,1681499617
45,bluff,-46.6,168.3333,8.93,88,8,2.72,NZ,1681499030
46,yellowknife,62.456,-114.3525,-1.91,68,100,5.36,CA,1681499562
47,vao,-22.6667,167.4833,24.72,78,100,7.74,NC,1681499618
48,katsuura,35.1333,140.3,17.2,78,100,6.19,JP,1681499618
49,nikolskoye,59.7035,30.7861,5.94,53,100,3.35,RU,1681499619
50,jamestown,42.097,-79.2353,29.18,25,0,2.68,US,1681499246
51,saint-augustin,51.226,-58.6502,6.54,49,100,10.31,CA,1681499619
52,port alfred,-33.5906,26.891,14.54,80,28,3.13,ZA,1681499620
53,lata,40.1629,-8.3327,15.45,98,100,2.25,PT,1681499620
54,victoria,22.2855,114.1577,25.21,88,71,0.89,HK,1681499576
55,siderno,38.2779,16.302,10.74,69,16,5.52,IT,1681499621
56,hermanus,-34.4187,19.2345,14.82,64,0,2.43,ZA,1681499621
57,port hardy,50.6996,-127.4199,7.0,68,100,5.85,CA,1681499622
58,carnarvon,-24.8667,113.6333,17.96,49,0,12.47,AU,1681499472
59,yar-sale,66.8333,70.8333,-10.54,97,100,0.54,RU,1681499623
60,jiazi,22.8779,116.067,23.12,88,1,3.75,CN,1681499623
61,narsaq,60.9167,-46.05,9.12,54,100,8.53,GL,1681499623
62,cabo san lucas,22.8909,-109.9124,27.01,56,75,5.66,MX,1681499623
63,bruck an der mur,47.4036,15.2952,5.0,100,100,1.01,AT,1681499624
64,manicore,-5.8092,-61.3003,33.35,51,99,1.17,BR,1681499624
65,castro,-24.7911,-50.0119,20.81,86,71,1.87,BR,1681499051
